b,s,bp,sp,days,gross%,fee%,net%
2021-06-29,2021-10-28,1562.08,1356.38,121,-13.17,0.62,-13.79
2022-08-10,2022-10-21,1156.16,967.98,72,-16.28,0.62,-16.9
2023-03-20,2023-07-18,1025.32,980.02,120,-4.42,0.62,-5.04
2024-10-22,2025-06-10,985.83,982.9,231,-0.3,0.62,-0.92
2025-08-25,2026-06-22,1287.73,1948.93,301,51.35,0.62,50.73
