日期,当前持仓,调整后方案
2021-03-15,1.0015525464304704,1.0027065646963662
2021-03-16,1.0018419458830459,1.0042347686015423
2021-03-17,1.0023971821803959,1.0056959034615547
2021-03-18,1.0027788188391986,1.0004581461503255
2021-03-19,1.0028183838199531,1.0003251465480496
2021-03-22,1.002531671003548,1.0044853152364555
2021-03-23,1.003181672885082,1.0017104616441233
2021-03-24,1.002572412756972,0.9980056484289931
2021-03-25,1.0029978474847425,0.9991330629394525
2021-03-26,1.0031210980271523,1.0053509022552636
2021-03-29,1.0033465375659762,1.00563066512001
2021-03-30,1.0017790358175955,1.004958247336742
2021-03-31,1.0006326144807443,1.005860457253041
2021-04-01,1.003774852896171,1.0128093367711353
2021-04-02,1.0051579139214348,1.014986820648297
2021-04-06,1.005031646180849,1.0181927898124234
2021-04-07,1.0057814430478176,1.0182480988025968
2021-04-08,1.0063161366930478,1.0211367008244674
2021-04-09,1.0068620788293456,1.0220472688968976
2021-04-12,1.0065024890077745,1.0205923377662303
2021-04-13,1.0057638264998248,1.0208665547861036
2021-04-14,1.0067054071912704,1.0198435013886546
2021-04-15,1.0069910203675998,1.022357720056831
2021-04-16,1.008216303249863,1.0245824230680491
2021-04-19,1.0092668305857795,1.0254645366149258
2021-04-20,1.0082002490473316,1.0219322306085774
2021-04-21,1.0094899928115197,1.025355411854882
2021-04-22,1.0095477941868443,1.0218582272682488
2021-04-23,1.0093673970857486,1.0255546005455247
2021-04-26,1.0092227187747758,1.025424854535836
2021-04-27,1.009277857556061,1.0251034541502269
2021-04-28,1.00830662884409,1.0237514495918154
2021-04-29,1.00931400165688,1.0260029645112585
2021-04-30,1.0087577894292326,1.0228053279848726
2021-05-06,1.0104766805660361,1.0231389715775883
2021-05-07,1.01213182709654,1.0244151435737316
2021-05-10,1.012319636161219,1.0186025014780404
2021-05-11,1.0123961822906529,1.016770181754982
2021-05-12,1.0124223443261637,1.011253717650924
2021-05-13,1.0120358546181423,1.0144010329043056
2021-05-14,1.0130124955826265,1.0213439561512045
2021-05-17,1.0145268877298246,1.0217493902785204
2021-05-18,1.0154443010697907,1.0209433429391437
2021-05-19,1.0157746867166717,1.020199100051107
2021-05-20,1.016295409794551,1.0255455793927886
2021-05-21,1.016393141179936,1.0230781042689765
2021-05-24,1.0173431823661003,1.0282512659586682
2021-05-25,1.0170250265865157,1.029624951146432
2021-05-26,1.0183305699497407,1.030538158261067
2021-05-27,1.017440038893132,1.0295201383593797
2021-05-28,1.0169407896251736,1.0281722888078946
2021-05-31,1.0177797993746005,1.0287012098247015
2021-06-01,1.0186417160753274,1.0283296256765613
2021-06-02,1.0168883994120692,1.0273567848341525
2021-06-03,1.0160254248916454,1.024421929317636
2021-06-04,1.01533603600537,1.0290930831705691
2021-06-07,1.0159683481413087,1.0294173569375125
2021-06-08,1.0163736005550583,1.028877262901404
2021-06-09,1.0166392947787075,1.0293427300087634
2021-06-10,1.0164221503101012,1.0319289315242344
2021-06-11,1.0176072655164368,1.0322140612648556
2021-06-15,1.0158314378725724,1.030947434185926
2021-06-16,1.0155538922251905,1.028007890322486
2021-06-17,1.0133112604576355,1.0292363803047695
2021-06-18,1.0122327780320448,1.0260206245278305
2021-06-21,1.0123285761199732,1.0298097100264987
2021-06-22,1.0128785056946426,1.0331759087350323
2021-06-23,1.013082321631193,1.0338537867824396
2021-06-24,1.0127794653873117,1.0361185115023122
2021-06-25,1.0129866475160365,1.0374840750843919
2021-06-28,1.0134396073340644,1.0390027878244998
2021-06-29,1.0128968906867948,1.0378309422065306
2021-06-30,1.0117853755442339,1.0375892205425763
2021-07-01,1.0134985883151357,1.0402573248321059
2021-07-02,1.0140779468608867,1.0411248899889907
2021-07-05,1.0147446465898504,1.0419130289309295
2021-07-06,1.0161780588549825,1.043027474190746
2021-07-07,1.0160980780622881,1.0455085650589668
2021-07-08,1.0165156461279572,1.0428740739358464
2021-07-09,1.0169187614355173,1.0459128257671486
2021-07-12,1.0168893759262623,1.0480968724352155
2021-07-13,1.0175497376533311,1.0484179387738264
2021-07-14,1.0180599854129375,1.048523715385514
2021-07-15,1.018960492253585,1.0482072750180773
2021-07-16,1.0185587576103003,1.0454506494614892
2021-07-19,1.0176740596871625,1.041365528657847
2021-07-20,1.018666856072624,1.0466796373333878
2021-07-21,1.0183367034970652,1.0490567605327674
2021-07-22,1.0178152059170444,1.0489746034785201
2021-07-23,1.0185622464435231,1.0515560203794934
2021-07-26,1.019276208829177,1.0504934356424647
2021-07-27,1.0187127472553623,1.0445911418634453
2021-07-28,1.0193205634101457,1.0463686841929443
2021-07-29,1.0197009121353056,1.0494131294757767
2021-07-30,1.020343569408011,1.0461002839131077
2021-08-02,1.0189943810103084,1.0469429894856368
2021-08-03,1.0194243210302565,1.0487960831489649
2021-08-04,1.019709668044956,1.050024474705341
2021-08-05,1.0196867942462924,1.0513031854156285
2021-08-06,1.0190308112505908,1.0496334361190605
2021-08-09,1.0159367901324818,1.0490292335728846
2021-08-10,1.0151821145309545,1.0487343904806776
2021-08-11,1.0148106749660173,1.0482132258168848
2021-08-12,1.0165619670072388,1.0499932772549045
2021-08-13,1.0169981059308397,1.0508875240065245
2021-08-16,1.0182727015705446,1.0519320240969505
2021-08-17,1.0194166577830996,1.0491529709366978
2021-08-18,1.0192705859276754,1.0481356782519506
2021-08-19,1.0189298546584857,1.0478179819274387
2021-08-20,1.0197009383941398,1.0503561272583948
2021-08-23,1.0196979691707104,1.0547116411829165
2021-08-24,1.0207358999298177,1.0564055552707716
2021-08-25,1.0200907559432213,1.056119196928322
2021-08-26,1.0195694358066056,1.0526192260712066
2021-08-27,1.0208221240782964,1.0577016747717625
2021-08-30,1.0214410083238357,1.0593143614990193
2021-08-31,1.021567424979524,1.059069269287464
2021-09-01,1.0216087854050884,1.060127761198549
2021-09-02,1.021613480296895,1.060447572628363
2021-09-03,1.0216087721287033,1.0602241456855703
2021-09-06,1.022567285392128,1.0625510736235246
2021-09-07,1.0222356946262277,1.0634408754431393
2021-09-08,1.0210262659492695,1.0622643401166714
2021-09-09,1.0203799244861105,1.0604626794086385
2021-09-10,1.020648761456786,1.0589438892118475
2021-09-13,1.0203475919469664,1.0583417116302356
2021-09-14,1.0202817337691872,1.0558078676510643
2021-09-15,1.0208313558857338,1.0578610131395954
2021-09-16,1.019714631159899,1.05434437014463
2021-09-17,1.0184758273327548,1.0518557131246633
2021-09-22,1.0201324844170303,1.051389622203679
2021-09-23,1.0189833700290605,1.054010028841267
2021-09-24,1.0182601209915314,1.0523341540479685
2021-09-27,1.0186005659339443,1.051283565018987
2021-09-28,1.0171083570144164,1.0431641857040082
2021-09-29,1.0167559793185006,1.0416709492122214
2021-09-30,1.0163802486922318,1.0409130878929296
2021-10-08,1.0181412223655346,1.045189940895105
